Sample	failed	passed	total
S133A	1138	11204	12342
S133B	969	5165	6134
S134A	1302	7036	8338
S134B	493	4564	5057
S135A	1754	9264	11018
S135B	723	9957	10680
S149A	603	10124	10727
S149B	348	4027	4375
S150A	818	15002	15820
S150B	332	3170	3502
S158A	1394	3592	4986
S158B	688	5909	6597
S159A	794	6531	7325
S159B	754	7502	8256
All_Samples	12110	103047	115157
