gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster
TNFRSF4	1.89641115296573e-48	0.116072100249048	20.5683780813314	13.7352862078239	2.61091285912006e-47	c3
CCNL2	0.00213656953224519	0.0168279772643667	11.336159522688	13.2708578994187	0.00571148325940055	c3
ATAD3C	0.012807993334669	1.52539377932959e-05	0.439629455173497	0.708537619727342	0.0313589195837443	c3
ATAD3B	0.00814572490432545	0.00658751283142202	3.42282932956508	4.17364860671507	0.0205021629899638	c3
AL139246.5	0.000127441196960365	0.00656713682057092	6.78285445124823	8.40108401084011	0.000377739537221099	c3
AL512413.1	0.010070168354827	0.000288114097756477	0.015701051970482	0.00103436148865305	0.0249950641122105	c3
MEGF6	5.74096791863379e-11	0.0188228283519725	1.85272413251688	0.997124475061545	2.4356809874148e-10	c3
AL365255.1	4.17972120337101e-07	0.0016290161852963	0.125608415763856	0.019652868284408	1.45550295627304e-06	c3
RPL22	0	0.402024054283262	89.967027790862	89.4805436603984	0	c3
ESPN	4.67943350985922e-09	0.00860900011094718	0.690846286701209	0.276174517470366	1.80161681843254e-08	c3
TNFRSF25	1.13972024396699e-171	0.212204120053669	19.7205212749254	9.35166221891227	9.65250948034468e-170	c3
PLEKHG5	0.00135083828680087	0.00304525700304424	0.345423143350604	0.169635284139101	0.00367939693516832	c3
NOL9	0.00660109663978954	0.00282891997532347	3.17161249803737	3.89954281222202	0.0167764842348512	c3
RERE	4.67972881475771e-06	0.00485257364724941	6.45313235986811	8.33798796003227	1.53135666883934e-05	c3
CA6	2.89886675912168e-10	0.00124344534440591	0.0942063118228921	0.00620616893191833	1.19013579835259e-09	c3
PIK3CD	0.000727363402829487	0.00161438198921565	9.3421259224368	10.9983657088479	0.00202610579768234	c3
UBE4B	0.000871734466313058	0.00572819128942983	4.89872821479039	6.04894598564306	0.00241242928716951	c3
DHRS3	0.00637205554790644	0.00772326476130009	3.39142722562412	4.16847679927181	0.0162242635109085	c3
AL450998.2	5.87455604475346e-06	0.00140527245343636	3.48563353744701	4.81702145265727	1.91133935418065e-05	c3
NECAP2	1.73375958485174e-08	0.00481989697018242	12.3567279007694	15.9022735265521	6.48019937108634e-08	c3
CROCC	0.0185836076155293	0.000775867661690785	1.94693044433977	2.43178385982333	0.0445884269716426	c3
UBXN10-AS1	1.08672474205146e-09	0.0153521605420547	1.7428167687235	0.959887461470034	4.3352651836472e-09	c3
AL020998.1	3.25819421025292e-09	0.00289511175995782	0.204113675616266	0.03723701359151	1.26578852087342e-08	c3
TCEA3	8.38462684965774e-39	0.0226157836269308	1.94693044433977	0.58234551811167	9.20168898180044e-38	c3
MDS2	3.73243320270317e-38	0.0193845219279537	1.61720835295965	0.43339746374563	4.03021071320859e-37	c3
RPL11	0	0.474953443216716	97.5349348406343	98.3108876890296	0	c3
NIPAL3	0.00838157753916322	0.00187499781225394	3.87815983670906	4.65359233745009	0.0210578580798903	c3
RCAN3	1.77876349531269e-81	0.159916396910478	18.6214476369917	11.3334988311715	4.75727034336499e-80	c3
AL445686.2	1.70278494425094e-05	0.00635036397396662	0.737949442612655	0.384782473778936	5.37638876485482e-05	c3
AL031432.1	0.0102594725139329	0.000760759877631989	0.0628042078819281	0.0165497838184489	0.0254291766441712	c3
RSRP1	6.83124072007032e-06	0.100627089125667	32.8466007222484	33.5308963776661	2.21358600260597e-05	c3
LDLRAP1	1.9502468079279e-149	0.125273717393915	10.943633223426	4.09503713357744	1.28249759694678e-147	c3
UBXN11	1.03972574709412e-05	0.0053136132144839	8.90249646726331	11.0904238813381	3.3301806996507e-05	c3
BX293535.1	0.00719852658320525	0.00347771547326089	0.361124195321087	0.201700490287346	0.018215194246834	c3
SNHG12	1.50532902640707e-14	0.139018466289886	26.9273041293767	25.0905066302571	7.44627210732157e-14	c3
