Cluster	CD2	CD3E	CD3D	CD3G	KLRD1	KLRC1	Cluster_Size	km_cluster	is_selected
c1	8.13518452447645	13.2815983024222	12.3085687548802	4.22068543131648	2.81191759269066	2.08453820579363	12088	2	TRUE
c2	2.88764047054435	5.86410726389925	3.00900595048917	1.26402483667483	8.2262502071405	2.40246304823942	6472	1	FALSE
c3	0.0234733448155327	0.042993584759482	0.0296360203162049	0.010638864909496	0.00388644479355603	0.0030516488641117	5894	1	FALSE
c4	6.2191316733093	11.0121139739843	8.18545711037659	3.14102660092496	1.6276708234536	0.85378668559458	5380	2	TRUE
c5	8.8587146951483	14.2357114224258	17.1571664537326	4.91140553347079	2.93728618467526	2.77343543370866	5191	2	TRUE
c6	5.40476336254272	9.04734321021071	5.74924612024795	1.98912698772613	0.0588300715072033	0.0357884555064023	5106	2	TRUE
c7	0.461321053779211	0.768939453548461	0.597938854642022	0.174179156033797	0.088365879648	0.0491025764037498	4269	1	FALSE
c8	7.60397018770166	11.4170588216403	8.88380073404912	3.42722653755031	0.682727533519307	0.610668118421883	4019	2	TRUE
c9	0.318392043810391	0.480521577422575	0.41037972263658	0.171950123414331	0.107328995153756	0.0682572070981762	3657	1	FALSE
c10	0.277366550360745	0.386064004292948	0.323881884711482	0.122256971346646	0.0698970893261824	0.0404557575499408	3538	1	FALSE
c11	6.86664140410713	10.8719207841863	7.72223795159777	2.13792303422678	0.0216083172345445	0.013860261996163	3388	2	TRUE
c12	8.23752019076032	12.0436948340349	10.1452143049856	3.1396088385158	0.474021368719765	0.338571188797496	3291	2	TRUE
c13	6.09007891481438	9.88125487877492	11.3864044387307	3.7573289225035	1.98980410923932	2.1300107056172	3172	2	TRUE
c14	8.32625471347509	12.2954692795279	9.24953901661281	2.29924864060115	0.0191032923533994	0.00726204206419917	2984	2	TRUE
c15	0.580932009267805	0.917476049978451	0.875830456397267	0.251296112212823	0.0663384963780602	0.0454188430282248	2981	1	FALSE
c16	4.18345536672438	4.48660888188635	4.80660067999371	2.03127532623767	1.28502634907393	0.53107801259096	2689	1	FALSE
c17	8.85493645323994	13.623979927626	10.1352045649611	2.58351591634136	0.0371801775426226	0.0243267795240877	2624	2	TRUE
c18	0.465862557181156	0.765601124373826	0.714934908943022	0.204335075496636	0.128496271765243	0.04755005040429	2576	1	FALSE
c19	0.231232426222457	0.33721493185861	0.287989073105102	0.112203202157427	0.0490146813960458	0.02842844979716	2463	1	FALSE
c20	0.0774630160046194	0.0975514459271303	0.0863233834580495	0.031459447799446	0.0134536556365269	0.0020813164707432	2445	1	FALSE
c21	0.522491655265958	0.5022565615173	0.354737730017936	0.121850084253213	0.0731692223366812	0.035799605019165	2223	1	FALSE
c22	0.220298070094344	0.517455787928388	0.354779159124224	0.0823897712238584	0.0554194412239319	0.0546651594571316	2008	1	FALSE
c23	6.98865783691382	10.1090951248889	12.0547271234383	3.80992425134269	1.65626560994749	1.77113193037983	1805	2	TRUE
c24	0.767260298886935	1.23979312537648	1.19733408302381	0.472635760382305	0.217799135065729	0.112282404184791	1534	1	FALSE
c25	6.36392628897911	10.3266551457434	9.40310678721823	2.93073217112384	1.02355529814226	0.767362400511471	1393	2	TRUE
c26	1.27377811208676	1.95106825374562	2.21861883231397	0.709781273414194	0.243806366372653	0.191018208784393	1369	1	FALSE
c27	0.288110585570351	0.396054794236579	0.344201216187577	0.148292913543077	0.0575358157832937	0.0370863656219213	1321	1	FALSE
c28	1.23541843940716	2.22392187331414	2.49467861651734	0.752080833449704	0.370462958846222	0.351694786841742	1257	1	FALSE
c29	0.500493717784954	0.830379169759667	1.00667507915406	0.303641856594298	0.147576853075103	0.107813323090374	1179	1	FALSE
c30	5.18042396701298	8.83781544827639	7.29612113559614	2.73590574238298	1.53307117339538	1.00305239885146	962	2	TRUE
c31	0.838018860587388	1.43852581323443	0.915700922661343	0.306347647148812	0.162623721956545	0.0812972805800058	918	1	FALSE
c32	1.97353582420211	3.93728977682543	3.69055227067535	1.02487451866386	0.682761951299975	0.316448630252405	656	1	FALSE
c33	8.18033412072411	15.344944920035	14.5799789278916	3.87501407070499	1.02747094273518	0.723244881231403	640	2	TRUE
c34	0.774949020785335	1.2955373353804	0.990260355454386	0.271479031106775	0.3297221737477	0.253599232028446	548	1	FALSE
c35	0.0440662774395692	0.0819452030614213	0.0338340432008339	0.00901344013361408	0.0205300955214598	0.00584311470735344	488	1	FALSE
c36	0.27448417095302	0.448597711699392	0.214535847329864	0.0741135632827219	0.0606759143055818	0.0687069703407124	352	1	FALSE
c37	0.36313559713213	0.328414039008575	0.206446457930145	0.144519239091592	0.0420660059307995	0.207104387215206	91	1	FALSE
c38	1.5003412146455	2.65505445766335	2.16651337862176	0.7227508326606	0.20142765649725	0.270330234412642	76	1	FALSE
