gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster
PIAS4	0.00427268975003084	0.00174923375264727	3.47035040431267	4.67530650785879	0.0142047451265399	c16
FEM1A	0.00446333240119899	0.00017677446899371	3.57142857142857	4.77322914897231	0.0147923382979538	c16
RPL36	5.36178795595057e-55	0.159312323985612	95.4851752021563	96.3968464912719	3.99608098814823e-53	c16
AC011471.2	6.76791267367145e-05	0.000389904443815002	0.0336927223719677	0.00099921062360735	0.000299078889585047	c16
ACER1	0.000440067748488957	0.00215442891818416	0.134770889487871	0.0249802655901838	0.00172377857379381	c16
CLPP	7.93420742004284e-07	0.12171882607411	22.4393530997305	20.9874199382488	4.54556625304743e-06	c16
CD320	7.56069600698728e-05	0.0709766806432907	11.1522911051213	9.47851197553932	0.000331508200656739	c16
RPS28	2.56930406464808e-46	0.140894122647019	98.3827493261456	98.7859590923171	1.50382756928739e-44	c16
KANK3	0.000409869536682197	0.00905251570844282	0.842318059299191	0.41467240879705	0.00161189077406749	c16
ZNF561	0.00831541343628732	0.000759293817637514	2.08894878706199	2.95266739275972	0.0262526909372309	c16
OLFM2	4.41024420930856e-22	0.0490148994961745	4.51482479784367	1.98842914097863	9.30841852056579e-21	c16
COL5A3	6.98364359052721e-17	0.0141603461965974	1.17924528301887	0.29776476583499	1.06948602163973e-15	c16
RAVER1	0.00308368047745569	0.000171894922098133	3.60512129380054	4.87215100070944	0.0105227853751449	c16
ICAM3	1.68994122461291e-11	0.133800521937759	36.3544474393531	34.100060951848	1.61703990844701e-10	c16
SLC44A2	5.8387614313766e-09	0.098645884531224	19.3396226415094	16.3440881703454	4.28397245428809e-08	c16
ILF3-DT	0.000403773315302508	0.00447235499469112	8.25471698113208	10.7285244656721	0.00158959378431923	c16
ECSIT	0.0136800428050659	0.0140449967601487	6.50269541778976	8.0346526244267	0.0413260021254099	c16
ELOF1	0.0026788826515648	0.0119367721580702	11.6913746630728	14.413613245536	0.0092280573508813	c16
TRIR	8.4191655539248e-09	0.0875108636421496	54.3463611859838	57.4136432218547	6.07883690737417e-08	c16
JUNB	2.51850622705126e-49	0.344249939085823	82.311320754717	81.2318268567831	1.62122191636939e-47	c16
PRDX2	1.136542250293e-24	0.191793207358735	31.5026954177898	26.0604122743033	2.77823279812877e-23	c16
CCDC130	0.00179452000977951	0.00272663197217843	6.9743935309973	8.88697928636377	0.00637819119202897	c16
IL27RA	3.7146946807087e-06	0.085376356202682	13.8140161725067	11.7427232486336	1.95211760928357e-05	c16
DNAJB1	1.22203052616225e-164	0.854235718035357	76.1118598382749	60.9848219906274	5.53844051167966e-162	c16
TECR	1.93621526933174e-11	0.146078137023608	30.2897574123989	28.1467640563954	1.84113375964979e-10	c16
USE1	0.000590601467157992	0.00580457763882949	6.94070080862534	9.10480720231017	0.0022676121357235	c16
DDA1	0.000349878499393729	0.0120985507946717	13.9487870619946	17.6690414572488	0.00138948787598187	c16
INSL3	0.011768375792932	0.00427438877299827	0.43800539083558	0.216828705322795	0.0360577185586839	c16
JAK3	7.53585607242489e-13	0.107589581843729	16.677897574124	12.9627594200582	8.2432335602409e-12	c16
RPL18A	1.26374405368855e-47	0.163520554315654	98.0458221024259	97.9356308516272	7.69209583894853e-46	c16
IL12RB1	0.00060600826366572	0.0582829891359663	10.7142857142857	9.25868563834571	0.00232437158586698	c16
PGPEP1	0.0131385155148579	0.00161717565181687	3.03234501347709	3.98884880944054	0.0398420475368349	c16
TMEM161A	0.00377870559092907	0.00451419727311295	3.36927223719677	4.58237991986331	0.0126895191857995	c16
PBX4	1.06344681592768e-158	0.335327097320162	29.0094339622642	13.0706741674077	4.57254862981827e-156	c16
AC002306.1	0.00134653048558041	0.00420630233727121	0.303234501347709	0.104917115478772	0.00489644794810752	c16
LPAR2	1.0944899924221e-39	0.12936786098857	13.510781671159	7.35918624286813	5.11952655032811e-38	c16
ATP13A1	0.0124938835653001	0.0185133924543389	7.34501347708895	9.05184903925899	0.0380684897804156	c16
ZNF101	5.30422000637389e-15	0.0676014491391802	7.51347708894879	4.5813807092397	6.96526744611463e-14	c16
ERVK-28	0.00816431106749258	0.000666553281092707	0.0336927223719677	0.00299763187082205	0.0258205054719346	c16
SLC7A10	2.31041235092274e-16	0.00797038259657005	0.539083557951483	0.0779384286413733	3.40301314998888e-15	c16
AC008555.5	9.62224227788384e-16	0.0496271506019853	5.45822102425876	2.94767133964168	1.34799816840296e-14	c16
ZNF792	0.00964568134849836	0.00990939368480494	1.07816711590297	0.681461645300213	0.0300927312619477	c16
GRAMD1A	0.00559752997421723	0.0752501359996009	14.4878706199461	13.6482179078528	0.018240377018587	c16
FXYD1	1.6157575038231e-09	0.0390695070531783	4.4811320754717	2.68587815625656	1.2661045598883e-08	c16
FXYD5	2.01923260272851e-171	0.482435626799786	79.6495956873315	72.0430859620899	9.81464101888535e-169	c16
LSR	1.72103380775578e-07	0.0497281629120172	5.8288409703504	4.01982433877237	1.07306249943323e-06	c16
ZBTB32	0.000502032996993654	0.0392871589217969	5.96361185983827	4.69129387783651	0.00195213711920848	c16
AD000671.2	0.00597524946987154	0.020611514153406	12.2641509433962	15.0551064658919	0.0193583768083995	c16
ALKBH6	0.00586958364043918	0.00380437262407299	6.09838274932615	7.65795021932673	0.0190503762716565	c16
ZNF793-AS1	0.000285060081747625	0.00877636955793309	0.741239892183288	0.341730033273714	0.00114825186423875	c16
EIF3K	2.75896264566517e-08	0.0661854879272488	60.9838274932615	64.6339391880414	1.87878353726535e-07	c16
PAK4	0.00759455575901456	0.00170691458188899	1.51617250673854	2.27820022182476	0.0241840306727906	c16
GMFG	6.94831300182343e-34	0.223111079078083	55.9973045822102	53.3818283555991	2.62128820534482e-32	c16
RPS16	1.20999095690761e-39	0.159782330009864	93.0929919137466	93.3542501423875	5.64404404906362e-38	c16
BCKDHA	0.000549998058993985	0.0051995304535644	5.66037735849057	7.59100310754504	0.00212387275792058	c16
PCAT19	0.00314202855723207	0.0018322525385714	0.134770889487871	0.0319747399554352	0.0107036418235093	c16
AC243960.1	9.65759993365057e-14	0.117373923466268	18.2614555256065	14.1937869083424	1.14048093864357e-12	c16
CEACAM21	0.00327996041935548	0.030924463750552	4.44743935309973	3.50922771010901	0.0111204319191613	c16
RPS19	8.70341201799332e-21	0.107588365840988	98.5175202156334	98.7140159274173	1.70898730831066e-19	c16
